Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2011,01,11,01,00,00,-1.45867
2011,01,11,01,30,00,-1.37833
2011,01,11,02,00,00,-1.25033
2011,01,11,02,30,00,-0.96133
2011,01,11,03,00,00,-1.47467
2011,01,11,03,30,00,-0.576
2011,01,11,04,00,00,-0.39933
2011,01,11,04,30,00,-0.51167
2011,01,11,05,00,00,-0.25367
2011,01,11,05,30,00,-0.158
2011,01,11,06,00,00,-0.18967
2011,01,11,06,30,00,-0.125
2011,01,11,07,00,00,-0.23833
2011,01,11,07,30,00,0.08467
2011,01,11,08,00,00,0.11533
2011,01,11,08,30,00,0.06733
2011,01,11,09,00,00,0.45433
2011,01,11,09,30,00,1.74033
2011,01,11,10,00,00,3.23733
2011,01,11,10,30,00,3.94467
2011,01,11,11,00,00,7.06533
2011,01,11,11,30,00,7.48433
2011,01,11,12,00,00,16.857
2011,01,11,12,30,00,19.57533
2011,01,11,13,00,00,37.265
2011,01,11,13,30,00,26.008
2011,01,11,14,00,00,15.893
2011,01,11,14,30,00,7.51567
2011,01,11,15,00,00,3.04367
2011,01,11,15,30,00,0.64767
2011,01,11,16,00,00,-0.01233
2011,01,11,16,30,00,0.06833
2011,01,11,17,00,00,0.165
2011,01,11,17,30,00,-0.077
2011,01,11,18,00,00,0.004
2011,01,11,18,30,00,0.036
2011,01,11,19,00,00,0.05167
2011,01,11,19,30,00,0.004
2011,01,11,20,00,00,-0.04433
2011,01,11,20,30,00,-0.077
2011,01,11,21,00,00,-0.029
2011,01,11,21,30,00,-0.174
2011,01,11,22,00,00,-0.18967
2011,01,11,22,30,00,-0.222
2011,01,11,23,00,00,-0.15633
2011,01,11,23,30,00,-0.12567
2011,01,12,00,00,00,0.413
2011,01,12,00,30,00,0.429
2011,01,12,01,00,00,0.49267
2011,01,12,01,30,00,0.50933
2011,01,12,02,00,00,0.84633
2011,01,12,02,30,00,0.701
2011,01,12,03,00,00,0.83
2011,01,12,03,30,00,0.95933
2011,01,12,04,00,00,1.16767
2011,01,12,04,30,00,0.97467
2011,01,12,05,00,00,0.37933
2011,01,12,05,30,00,0.814
2011,01,12,06,00,00,0.557
2011,01,12,06,30,00,0.52567
2011,01,12,07,00,00,0.42833
2011,01,12,07,30,00,0.412
2011,01,12,08,00,00,0.42767
2011,01,12,08,30,00,0.49267
2011,01,12,09,00,00,0.75033
2011,01,12,09,30,00,2.05233
2011,01,12,10,00,00,5.44533
2011,01,12,10,30,00,10.672
2011,01,12,11,00,00,11.83
2011,01,12,11,30,00,12.56967
2011,01,12,12,00,00,13.55
2011,01,12,12,30,00,13.56533
2011,01,12,13,00,00,14.451
2011,01,12,13,30,00,11.57367
2011,01,12,14,00,00,9.24267
2011,01,12,14,30,00,5.398
2011,01,12,15,00,00,2.50233
2011,01,12,15,30,00,0.74833
2011,01,12,16,00,00,-0.36133
2011,01,12,16,30,00,-0.52233
2011,01,12,17,00,00,-0.57067
2011,01,12,17,30,00,-0.40967
2011,01,12,18,00,00,-0.393
2011,01,12,18,30,00,-0.41
2011,01,12,19,00,00,-0.36033
2011,01,12,19,30,00,-0.39367
2011,01,12,20,00,00,-0.474
2011,01,12,20,30,00,-0.34567
2011,01,12,21,00,00,-0.409
2011,01,12,21,30,00,-0.40867
2011,01,12,22,00,00,-0.40933
2011,01,12,22,30,00,-0.65
2011,01,12,23,00,00,-0.45667
2011,01,12,23,30,00,-0.37733
2011,01,13,00,00,00,-0.706
2011,01,13,00,30,00,-0.59233
2011,01,13,01,00,00,-0.47933
2011,01,13,01,30,00,-0.26967
2011,01,13,02,00,00,-0.48
2011,01,13,02,30,00,-0.641
2011,01,13,03,00,00,-0.706
2011,01,13,03,30,00,-0.68833
2011,01,13,04,00,00,-0.78567
2011,01,13,04,30,00,-0.52833
2011,01,13,05,00,00,-0.23833
2011,01,13,05,30,00,-0.44833
2011,01,13,06,00,00,-0.319
2011,01,13,06,30,00,-0.20733
2011,01,13,07,00,00,-0.09433
2011,01,13,07,30,00,-0.07733
2011,01,13,08,00,00,-0.062
2011,01,13,08,30,00,0.03467
2011,01,13,09,00,00,0.77433
2011,01,13,09,30,00,3.29933
2011,01,13,10,00,00,10.07167
2011,01,13,10,30,00,19.84667
2011,01,13,11,00,00,21.358
2011,01,13,11,30,00,24.816
2011,01,13,12,00,00,27.47
2011,01,13,12,30,00,29.09533
2011,01,13,13,00,00,31.667
2011,01,13,13,30,00,26.42533
2011,01,13,14,00,00,18.89833
2011,01,13,14,30,00,12.38733
2011,01,13,15,00,00,6.75667
2011,01,13,15,30,00,1.514
2011,01,13,16,00,00,0.275
2011,01,13,16,30,00,0.08367
2011,01,13,17,00,00,0.14767
2011,01,13,17,30,00,-0.11
2011,01,13,18,00,00,0.06667
2011,01,13,18,30,00,-0.02933
2011,01,13,19,00,00,0.115
2011,01,13,19,30,00,-0.01433
2011,01,13,20,00,00,-0.12733
2011,01,13,20,30,00,-0.141
2011,01,13,21,00,00,0.00267
2011,01,13,21,30,00,-0.045
2011,01,13,22,00,00,0.003
2011,01,13,22,30,00,0.08333
2011,01,13,23,00,00,0.11533
2011,01,13,23,30,00,0.19633
2011,01,14,00,00,00,0.007
2011,01,14,00,30,00,-0.28367
2011,01,14,01,00,00,-0.123
2011,01,14,01,30,00,0.13533
2011,01,14,02,00,00,0.05467
2011,01,14,02,30,00,0.038
2011,01,14,03,00,00,-0.18767
2011,01,14,03,30,00,-0.251
2011,01,14,04,00,00,-0.13933
2011,01,14,04,30,00,-0.058
2011,01,14,05,00,00,-0.21967
2011,01,14,05,30,00,-0.171
2011,01,14,06,00,00,0.03833
2011,01,14,06,30,00,0.087
2011,01,14,07,00,00,0.10267
2011,01,14,07,30,00,-0.04167
2011,01,14,08,00,00,-0.25167
2011,01,14,08,30,00,-0.074
2011,01,14,09,00,00,1.646
2011,01,14,09,30,00,6.66267
2011,01,14,10,00,00,17.77533
2011,01,14,10,30,00,27.11967
2011,01,14,11,00,00,45.00233
2011,01,14,11,30,00,46.12733
2011,01,14,12,00,00,28.80867
2011,01,14,12,30,00,26.28333
2011,01,14,13,00,00,25.67233
2011,01,14,13,30,00,20.091
2011,01,14,14,00,00,25.89767
2011,01,14,14,30,00,10.61867
2011,01,14,15,00,00,4.332
2011,01,14,15,30,00,1.40433
2011,01,14,16,00,00,0.311
2011,01,14,16,30,00,0.43967
2011,01,14,17,00,00,0.087
2011,01,14,17,30,00,-0.25067
