Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2011,01,10,07,30,00,-0.90467
2011,01,10,08,00,00,-0.80467
2011,01,10,08,30,00,-0.677
2011,01,10,09,00,00,-0.544
2011,01,10,09,30,00,-0.45833
2011,01,10,10,00,00,-0.43273
2011,01,10,10,30,00,-0.36367
2011,01,10,11,00,00,-0.317
2011,01,10,11,30,00,-0.16967
2011,01,10,12,00,00,-0.12733
2011,01,10,12,30,00,-0.203
2011,01,10,13,00,00,-0.26633
2011,01,10,13,30,00,-0.29233
2011,01,10,14,00,00,-0.22533
2011,01,10,14,30,00,-0.36233
2011,01,10,15,00,00,-0.47433
2011,01,10,15,30,00,-0.59133
2011,01,10,16,00,00,-0.71433
2011,01,10,16,30,00,-0.87367
2011,01,10,17,00,00,-1.01667
2011,01,10,17,30,00,-1.12333
2011,01,10,18,00,00,-1.165
2011,01,10,18,30,00,-1.14467
2011,01,10,19,00,00,-1.14167
2011,01,10,19,30,00,-1.21167
2011,01,10,20,00,00,-1.43933
2011,01,10,20,30,00,-1.70267
2011,01,10,21,00,00,-1.77
2011,01,10,21,30,00,-1.81467
2011,01,10,22,00,00,-1.81267
2011,01,10,22,30,00,-1.803
2011,01,10,23,00,00,-1.768
2011,01,10,23,30,00,-1.75833
2011,01,11,00,00,00,-2.02867
2011,01,11,00,30,00,-2.26467
2011,01,11,01,00,00,-2.41
2011,01,11,01,30,00,-2.45167
2011,01,11,02,00,00,-2.33033
2011,01,11,02,30,00,-2.1
2011,01,11,03,00,00,-1.91967
2011,01,11,03,30,00,-1.37733
2011,01,11,04,00,00,-1.047
2011,01,11,04,30,00,-0.811
2011,01,11,05,00,00,-0.57633
2011,01,11,05,30,00,-0.44133
2011,01,11,06,00,00,-0.214
2011,01,11,06,30,00,-0.16267
2011,01,11,07,00,00,-0.135
2011,01,11,07,30,00,-0.19367
2011,01,11,08,00,00,-0.27333
2011,01,11,08,30,00,-0.47433
2011,01,11,09,00,00,-0.59
2011,01,11,09,30,00,-0.656
2011,01,11,10,00,00,-0.69433
2011,01,11,10,30,00,-0.74633
2011,01,11,11,00,00,-0.914
2011,01,11,11,30,00,-0.977
2011,01,11,12,00,00,-1.06167
2011,01,11,12,30,00,-1.205
2011,01,11,13,00,00,-1.34833
2011,01,11,13,30,00,-1.486
2011,01,11,14,00,00,-1.43533
2011,01,11,14,30,00,-1.55367
2011,01,11,15,00,00,-1.54167
2011,01,11,15,30,00,-1.55667
2011,01,11,16,00,00,-1.50867
2011,01,11,16,30,00,-1.49533
2011,01,11,17,00,00,-1.57233
2011,01,11,17,30,00,-1.53367
2011,01,11,18,00,00,-1.42133
2011,01,11,18,30,00,-1.42267
2011,01,11,19,00,00,-1.437
2011,01,11,19,30,00,-1.527
2011,01,11,20,00,00,-1.594
2011,01,11,20,30,00,-1.61533
2011,01,11,21,00,00,-1.71133
2011,01,11,21,30,00,-1.81533
2011,01,11,22,00,00,-1.95967
2011,01,11,22,30,00,-2.09433
2011,01,11,23,00,00,-2.177
2011,01,11,23,30,00,-2.2
2011,01,12,00,00,00,-2.22633
2011,01,12,00,30,00,-2.244
2011,01,12,01,00,00,-2.30733
2011,01,12,01,30,00,-2.37733
2011,01,12,02,00,00,-2.459
2011,01,12,02,30,00,-2.45133
2011,01,12,03,00,00,-2.45633
2011,01,12,03,30,00,-2.435
2011,01,12,04,00,00,-2.50067
2011,01,12,04,30,00,-2.584
2011,01,12,05,00,00,-2.599
2011,01,12,05,30,00,-2.62967
2011,01,12,06,00,00,-2.703
2011,01,12,06,30,00,-2.873
2011,01,12,07,00,00,-3.02667
2011,01,12,07,30,00,-3.15833
2011,01,12,08,00,00,-3.30833
2011,01,12,08,30,00,-3.695
2011,01,12,09,00,00,-3.937
2011,01,12,09,30,00,-4.10033
2011,01,12,10,00,00,-4.13167
2011,01,12,10,30,00,-4.14467
2011,01,12,11,00,00,-4.12
2011,01,12,11,30,00,-4.11
2011,01,12,12,00,00,-4.138
2011,01,12,12,30,00,-4.21833
2011,01,12,13,00,00,-4.25133
2011,01,12,13,30,00,-4.24767
2011,01,12,14,00,00,-4.31233
2011,01,12,14,30,00,-4.366
2011,01,12,15,00,00,-4.40567
2011,01,12,15,30,00,-4.50467
2011,01,12,16,00,00,-4.69267
2011,01,12,16,30,00,-4.78533
2011,01,12,17,00,00,-4.83567
2011,01,12,17,30,00,-4.88167
2011,01,12,18,00,00,-4.91567
2011,01,12,18,30,00,-4.972
2011,01,12,19,00,00,-5.046
2011,01,12,19,30,00,-5.11333
2011,01,12,20,00,00,-5.17833
2011,01,12,20,30,00,-5.21733
2011,01,12,21,00,00,-5.27133
2011,01,12,21,30,00,-5.29367
2011,01,12,22,00,00,-5.31033
2011,01,12,22,30,00,-5.33933
2011,01,12,23,00,00,-5.38167
2011,01,12,23,30,00,-5.441
2011,01,13,00,00,00,-5.50267
2011,01,13,00,30,00,-5.57333
2011,01,13,01,00,00,-5.64467
2011,01,13,01,30,00,-5.67133
2011,01,13,02,00,00,-5.66767
2011,01,13,02,30,00,-5.74233
2011,01,13,03,00,00,-5.80633
2011,01,13,03,30,00,-5.85933
2011,01,13,04,00,00,-5.898
2011,01,13,04,30,00,-5.92167
2011,01,13,05,00,00,-5.95667
2011,01,13,05,30,00,-5.98567
2011,01,13,06,00,00,-5.9875
2011,01,13,06,30,00,NaN
2011,01,13,07,00,00,NaN
2011,01,13,07,30,00,-6.04333
2011,01,13,08,00,00,-6.03267
2011,01,13,08,30,00,-6.01267
2011,01,13,09,00,00,-5.99533
2011,01,13,09,30,00,-5.94733
2011,01,13,10,00,00,-5.89733
2011,01,13,10,30,00,-5.83067
2011,01,13,11,00,00,-5.773
2011,01,13,11,30,00,-5.72533
2011,01,13,12,00,00,-5.66033
2011,01,13,12,30,00,-5.59167
2011,01,13,13,00,00,-5.52967
2011,01,13,13,30,00,-5.43067
2011,01,13,14,00,00,-5.357
2011,01,13,14,30,00,-5.29333
2011,01,13,15,00,00,-5.248
2011,01,13,15,30,00,-5.17767
2011,01,13,16,00,00,-5.12333
2011,01,13,16,30,00,-5.05733
2011,01,13,17,00,00,-5.00033
2011,01,13,17,30,00,-4.93667
2011,01,13,18,00,00,-4.962
2011,01,13,18,30,00,-5.06733
2011,01,13,19,00,00,-5.276
2011,01,13,19,30,00,-5.55567
2011,01,13,20,00,00,-5.88167
2011,01,13,20,30,00,-6.168
2011,01,13,21,00,00,-6.32933
2011,01,13,21,30,00,-6.44667
2011,01,13,22,00,00,-6.59233
2011,01,13,22,30,00,-6.766
2011,01,13,23,00,00,-6.92533
2011,01,13,23,30,00,-7.02867
2011,01,14,00,00,00,-7.09567
2011,01,14,00,30,00,-7.22433
2011,01,14,01,00,00,-7.373
2011,01,14,01,30,00,-7.50167
2011,01,14,02,00,00,-7.604
2011,01,14,02,30,00,-7.771
2011,01,14,03,00,00,-7.89533
2011,01,14,03,30,00,-8.04033
2011,01,14,04,00,00,-8.123
2011,01,14,04,30,00,-8.23567
2011,01,14,05,00,00,-8.34333
2011,01,14,05,30,00,-8.43067
2011,01,14,06,00,00,-8.48167
2011,01,14,06,30,00,-8.52467
2011,01,14,07,00,00,-8.58
2011,01,14,07,30,00,-8.63833
2011,01,14,08,00,00,-8.70133
2011,01,14,08,30,00,-8.74867
2011,01,14,09,00,00,-8.75633
2011,01,14,09,30,00,-8.818
2011,01,14,10,00,00,-8.84967
2011,01,14,10,30,00,-8.92833
2011,01,14,11,00,00,-9.02033
2011,01,14,11,30,00,-8.911
2011,01,14,12,00,00,-8.841
2011,01,14,12,30,00,-8.68767
2011,01,14,13,00,00,-8.61333
2011,01,14,13,30,00,-8.64
2011,01,14,14,00,00,-8.54967
2011,01,14,14,30,00,-8.58767
2011,01,14,15,00,00,-8.75567
2011,01,14,15,30,00,-9.12633
2011,01,14,16,00,00,-9.50167
2011,01,14,16,30,00,-9.98767
2011,01,14,17,00,00,-10.43067
2011,01,14,17,30,00,-10.74333
2011,01,14,18,00,00,-10.84867
2011,01,14,18,30,00,-11.01067
2011,01,14,19,00,00,-11.30967
2011,01,14,19,30,00,-11.72833
2011,01,14,20,00,00,-11.90533
2011,01,14,20,30,00,-12.13133
2011,01,14,21,00,00,-12.42267
2011,01,14,21,30,00,-12.68833
2011,01,14,22,00,00,-12.82067
2011,01,14,22,30,00,-13.06233
2011,01,14,23,00,00,-13.485
2011,01,14,23,30,00,-13.98533
2011,01,15,00,00,00,-14.58233
2011,01,15,00,30,00,-15.09133
2011,01,15,01,00,00,-15.56533
2011,01,15,01,30,00,-15.97367
2011,01,15,02,00,00,-16.38
2011,01,15,02,30,00,-16.66867
2011,01,15,03,00,00,-16.97267
2011,01,15,03,30,00,-17.24733
2011,01,15,04,00,00,-17.601
2011,01,15,04,30,00,-17.65567
2011,01,15,05,00,00,-17.99867
2011,01,15,05,30,00,-18.42733
2011,01,15,06,00,00,-18.653
2011,01,15,06,30,00,-19.037
2011,01,15,07,00,00,-19.01833
2011,01,15,07,30,00,-19.175
2011,01,15,08,00,00,-19.294
2011,01,15,08,30,00,-19.71333
2011,01,15,09,00,00,-19.80267
2011,01,15,09,30,00,-19.215
2011,01,15,10,00,00,-18.67933
2011,01,15,10,30,00,-18.46667
2011,01,15,11,00,00,-18.56033
2011,01,15,11,30,00,-18.65067
2011,01,15,12,00,00,-18.461
2011,01,15,12,30,00,-18.807
2011,01,15,13,00,00,-18.42967
2011,01,15,13,30,00,-18.22633
2011,01,15,14,00,00,-18.15367
2011,01,15,14,30,00,-18.12333
2011,01,15,15,00,00,-18.36733
2011,01,15,15,30,00,-18.565
2011,01,15,16,00,00,-18.30867
2011,01,15,16,30,00,-18.55367
2011,01,15,17,00,00,-18.08333
2011,01,15,17,30,00,-17.80467
2011,01,15,18,00,00,-17.402
2011,01,15,18,30,00,-17.79533
2011,01,15,19,00,00,-17.66367
2011,01,15,19,30,00,-17.81533
2011,01,15,20,00,00,-17.82333
2011,01,15,20,30,00,-17.67733
2011,01,15,21,00,00,-17.821
2011,01,15,21,30,00,-17.69
2011,01,15,22,00,00,-17.696
2011,01,15,22,30,00,-18.44467
2011,01,15,23,00,00,-18.28767
2011,01,15,23,30,00,-18.888
2011,01,16,00,00,00,-18.63
2011,01,16,00,30,00,-18.97133
2011,01,16,01,00,00,-19.045
2011,01,16,01,30,00,-19.185
2011,01,16,02,00,00,-19.812
2011,01,16,02,30,00,-20.15172
2011,01,16,03,00,00,-20.27733
2011,01,16,03,30,00,-19.93367
2011,01,16,04,00,00,-20.27467
2011,01,16,04,30,00,-20.31033
2011,01,16,05,00,00,-20.41433
2011,01,16,05,30,00,-20.685
2011,01,16,06,00,00,-21.41033
2011,01,16,06,30,00,-20.87967
2011,01,16,07,00,00,-20.45133
2011,01,16,07,30,00,-20.29
2011,01,16,08,00,00,-20.34267
2011,01,16,08,30,00,-19.84033
2011,01,16,09,00,00,-18.94667
2011,01,16,09,30,00,-18.123
2011,01,16,10,00,00,-17.53367
2011,01,16,10,30,00,-16.80667
