Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,10,19,00,00,24.964
2018,01,10,19,30,00,24.636
2018,01,10,20,00,00,23.912
2018,01,10,20,30,00,23.614
2018,01,10,21,00,00,22.64
2018,01,10,21,30,00,23.062
2018,01,10,22,00,00,23.342
2018,01,10,22,30,00,23.39
2018,01,10,23,00,00,22.536
2018,01,10,23,30,00,23.404
2018,01,11,00,00,00,24.248
2018,01,11,00,30,00,24.512
2018,01,11,01,00,00,23.904
2018,01,11,01,30,00,23.334
2018,01,11,02,00,00,22.598
2018,01,11,02,30,00,22.646
2018,01,11,03,00,00,22.73
2018,01,11,03,30,00,22.304
2018,01,11,04,00,00,21.996
2018,01,11,04,30,00,23.01
2018,01,11,05,00,00,22.376
2018,01,11,05,30,00,22.29
2018,01,11,06,00,00,24.47
2018,01,11,06,30,00,25.466
2018,01,11,07,00,00,25.598
2018,01,11,07,30,00,25.084
2018,01,11,08,00,00,23.858
2018,01,11,08,30,00,23.446
2018,01,11,09,00,00,23.788
2018,01,11,09,30,00,24.052
2018,01,11,10,00,00,24.552
2018,01,11,10,30,00,24.554
2018,01,11,11,00,00,24.524
2018,01,11,11,30,00,24.348
2018,01,11,12,00,00,25.348
2018,01,11,12,30,00,24.418
2018,01,11,13,00,00,25.1
2018,01,11,13,30,00,26.45
2018,01,11,14,00,00,27.616
2018,01,11,14,30,00,28.16
2018,01,11,15,00,00,28.272
2018,01,11,15,30,00,28.842
2018,01,11,16,00,00,29.416
2018,01,11,16,30,00,29.552
2018,01,11,17,00,00,28.726
2018,01,11,17,30,00,30.548
2018,01,11,18,00,00,30.18
2018,01,11,18,30,00,30.284
2018,01,11,19,00,00,30.08
2018,01,11,19,30,00,30.012
2018,01,11,20,00,00,30.528
2018,01,11,20,30,00,30.306
2018,01,11,21,00,00,30.324
2018,01,11,21,30,00,30.248
2018,01,11,22,00,00,30.096
2018,01,11,22,30,00,29.972
2018,01,11,23,00,00,30.586
2018,01,11,23,30,00,30.2
2018,01,12,00,00,00,28.764
2018,01,12,00,30,00,27.964
2018,01,12,01,00,00,29.204
2018,01,12,01,30,00,29.482
2018,01,12,02,00,00,29.3
2018,01,12,02,30,00,29.354
2018,01,12,03,00,00,29.326
2018,01,12,03,30,00,28.686
2018,01,12,04,00,00,28.63
2018,01,12,04,30,00,28.548
2018,01,12,05,00,00,30.46
2018,01,12,05,30,00,32.564
2018,01,12,06,00,00,33.65
2018,01,12,06,30,00,33.142
2018,01,12,07,00,00,33.126
2018,01,12,07,30,00,32.776
2018,01,12,08,00,00,32.672
2018,01,12,08,30,00,32.724
2018,01,12,09,00,00,32.974
2018,01,12,09,30,00,32.968
2018,01,12,10,00,00,32.516
2018,01,12,10,30,00,32.284
2018,01,12,11,00,00,32.46
2018,01,12,11,30,00,32.702
2018,01,12,12,00,00,32.486
2018,01,12,12,30,00,32.168
2018,01,12,13,00,00,30.97
2018,01,12,13,30,00,30.486
2018,01,12,14,00,00,30.502
2018,01,12,14,30,00,28.47
2018,01,12,15,00,00,26.896
2018,01,12,15,30,00,26.028
2018,01,12,16,00,00,26.97
2018,01,12,16,30,00,26.546
2018,01,12,17,00,00,25.508
2018,01,12,17,30,00,25.382
2018,01,12,18,00,00,25.466
2018,01,12,18,30,00,26.092
2018,01,12,19,00,00,28.66
2018,01,12,19,30,00,29.198
2018,01,12,20,00,00,29.318
2018,01,12,20,30,00,30.262
2018,01,12,21,00,00,31
2018,01,12,21,30,00,31.28
2018,01,12,22,00,00,31.406
2018,01,12,22,30,00,31.26
2018,01,12,23,00,00,31.086
2018,01,12,23,30,00,30.614
2018,01,13,00,00,00,30.316
2018,01,13,00,30,00,30.02
2018,01,13,01,00,00,29.664
2018,01,13,01,30,00,29.756
2018,01,13,02,00,00,29.66
2018,01,13,02,30,00,30.014
2018,01,13,03,00,00,31.078
2018,01,13,03,30,00,31.412
2018,01,13,04,00,00,31.814
2018,01,13,04,30,00,32.1
2018,01,13,05,00,00,32.142
2018,01,13,05,30,00,31.732
2018,01,13,06,00,00,32.066
2018,01,13,06,30,00,32.38
2018,01,13,07,00,00,32.442
2018,01,13,07,30,00,32.522
2018,01,13,08,00,00,32.356
2018,01,13,08,30,00,31.354
2018,01,13,09,00,00,31.684
2018,01,13,09,30,00,31.558
2018,01,13,10,00,00,31.54
2018,01,13,10,30,00,30.854
2018,01,13,11,00,00,29.602
2018,01,13,11,30,00,28.502
2018,01,13,12,00,00,28.42
2018,01,13,12,30,00,29.67
2018,01,13,13,00,00,29.378
2018,01,13,13,30,00,28.668
2018,01,13,14,00,00,28.258
2018,01,13,14,30,00,29.238
2018,01,13,15,00,00,28.754
2018,01,13,15,30,00,30.532
2018,01,13,16,00,00,29.15
2018,01,13,16,30,00,27.826
2018,01,13,17,00,00,25.758
2018,01,13,17,30,00,25.104
2018,01,13,18,00,00,24.634
2018,01,13,18,30,00,24.676
2018,01,13,19,00,00,24.64
2018,01,13,19,30,00,25.336
2018,01,13,20,00,00,25.44
2018,01,13,20,30,00,26.054
2018,01,13,21,00,00,25.554
2018,01,13,21,30,00,25.154
2018,01,13,22,00,00,25.274
2018,01,13,22,30,00,26.126
2018,01,13,23,00,00,25.844
2018,01,13,23,30,00,26.4
2018,01,14,00,00,00,27.748
2018,01,14,00,30,00,27.168
2018,01,14,01,00,00,27.046
2018,01,14,01,30,00,27.234
2018,01,14,02,00,00,26.93
2018,01,14,02,30,00,26.762
2018,01,14,03,00,00,26.682
2018,01,14,03,30,00,26.606
2018,01,14,04,00,00,26.466
2018,01,14,04,30,00,26.52
2018,01,14,05,00,00,26.598
2018,01,14,05,30,00,27.082
2018,01,14,06,00,00,28.03
2018,01,14,06,30,00,28.812
2018,01,14,07,00,00,29.448
2018,01,14,07,30,00,31.364
2018,01,14,08,00,00,32.064
2018,01,14,08,30,00,31.718
2018,01,14,09,00,00,31.936
2018,01,14,09,30,00,31.74
2018,01,14,10,00,00,31.74
