Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2022,06,06,01,30,00,1000.613
2022,06,06,02,00,00,1000.71333
2022,06,06,02,30,00,1000.82033
2022,06,06,03,00,00,1000.924
2022,06,06,03,30,00,1001.174
2022,06,06,04,00,00,1001.25933
2022,06,06,04,30,00,1001.35867
2022,06,06,05,00,00,1001.40667
2022,06,06,05,30,00,1001.53033
2022,06,06,06,00,00,1001.643
2022,06,06,06,30,00,1001.73833
2022,06,06,07,00,00,1001.88333
2022,06,06,07,30,00,1001.97133
2022,06,06,08,00,00,1002.13233
2022,06,06,08,30,00,1002.183
2022,06,06,09,00,00,1002.13567
2022,06,06,09,30,00,1001.998
2022,06,06,10,00,00,1001.866
2022,06,06,10,30,00,1001.754
2022,06,06,11,00,00,1001.69233
2022,06,06,11,30,00,1001.61167
2022,06,06,12,00,00,1001.33967
2022,06,06,12,30,00,1001.21467
2022,06,06,13,00,00,1001.18867
2022,06,06,13,30,00,1000.95633
2022,06,06,14,00,00,1000.84867
2022,06,06,14,30,00,1000.67533
2022,06,06,15,00,00,1000.56733
2022,06,06,15,30,00,1000.40333
2022,06,06,16,00,00,1000.12333
2022,06,06,16,30,00,999.96633
2022,06,06,17,00,00,999.75567
2022,06,06,17,30,00,999.65567
2022,06,06,18,00,00,999.46667
2022,06,06,18,30,00,999.30633
2022,06,06,19,00,00,999.24733
2022,06,06,19,30,00,999.11567
2022,06,06,20,00,00,999.026
2022,06,06,20,30,00,999.01033
2022,06,06,21,00,00,999.05233
2022,06,06,21,30,00,999.09033
2022,06,06,22,00,00,999.08567
2022,06,06,22,30,00,998.99167
2022,06,06,23,00,00,998.91633
2022,06,06,23,30,00,998.944
2022,06,07,00,00,00,998.868
2022,06,07,00,30,00,998.74733
2022,06,07,01,00,00,998.621
2022,06,07,01,30,00,998.53333
2022,06,07,02,00,00,998.46833
2022,06,07,02,30,00,998.32167
2022,06,07,03,00,00,998.13733
2022,06,07,03,30,00,998.028
2022,06,07,04,00,00,997.983
2022,06,07,04,30,00,997.99867
2022,06,07,05,00,00,997.88533
2022,06,07,05,30,00,997.79133
2022,06,07,06,00,00,997.72933
2022,06,07,06,30,00,997.63767
2022,06,07,07,00,00,997.487
2022,06,07,07,30,00,997.34467
2022,06,07,08,00,00,997.25767
2022,06,07,08,30,00,997.21433
2022,06,07,09,00,00,997.078
2022,06,07,09,30,00,997.02633
2022,06,07,10,00,00,996.789
2022,06,07,10,30,00,996.67467
2022,06,07,11,00,00,996.49067
2022,06,07,11,30,00,996.27367
2022,06,07,12,00,00,996.07867
2022,06,07,12,30,00,995.906
2022,06,07,13,00,00,995.727
2022,06,07,13,30,00,995.568
2022,06,07,14,00,00,995.30633
2022,06,07,14,30,00,995.102
2022,06,07,15,00,00,994.90533
2022,06,07,15,30,00,994.632
2022,06,07,16,00,00,994.46333
2022,06,07,16,30,00,994.40033
