Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2022,01,09,17,30,00,1.45844
2022,01,09,18,00,00,1.77044
2022,01,09,18,30,00,1.53661
2022,01,09,19,00,00,1.64689
2022,01,09,19,30,00,2.23472
2022,01,09,20,00,00,2.06022
2022,01,09,20,30,00,1.61483
2022,01,09,21,00,00,1.07864
2022,01,09,21,30,00,1.35745
2022,01,09,22,00,00,1.19998
2022,01,09,22,30,00,1.56278
2022,01,09,23,00,00,1.83278
2022,01,09,23,30,00,1.88572
2022,01,10,00,00,00,1.8655
2022,01,10,00,30,00,1.6735
2022,01,10,01,00,00,1.95581
2022,01,10,01,30,00,1.86517
2022,01,10,02,00,00,2.01033
2022,01,10,02,30,00,2.07117
2022,01,10,03,00,00,2.61261
2022,01,10,03,30,00,2.758
2022,01,10,04,00,00,2.2245
2022,01,10,04,30,00,2.22668
2022,01,10,05,00,00,2.54979
2022,01,10,05,30,00,2.23055
2022,01,10,06,00,00,2.36754
2022,01,10,06,30,00,1.87578
2022,01,10,07,00,00,2.2625
2022,01,10,07,30,00,2.53141
2022,01,10,08,00,00,2.23725
2022,01,10,08,30,00,2.28715
2022,01,10,09,00,00,2.64833
2022,01,10,09,30,00,2.71
2022,01,10,10,00,00,2.30117
2022,01,10,10,30,00,1.94333
2022,01,10,11,00,00,1.85217
2022,01,10,11,30,00,1.62739
2022,01,10,12,00,00,1.64006
2022,01,10,12,30,00,1.09587
2022,01,10,13,00,00,0.54571
2022,01,10,13,30,00,0.77492
2022,01,10,14,00,00,1.14145
2022,01,10,14,30,00,1.27433
2022,01,10,15,00,00,1.49484
2022,01,10,15,30,00,1.84327
2022,01,10,16,00,00,1.83897
2022,01,10,16,30,00,1.17487
2022,01,10,17,00,00,1.18246
2022,01,10,17,30,00,0.69105
2022,01,10,18,00,00,0.89186
2022,01,10,18,30,00,0.35012
2022,01,10,19,00,00,0.50397
2022,01,10,19,30,00,0.71636
2022,01,10,20,00,00,1.60765
2022,01,10,20,30,00,2.07634
2022,01,10,21,00,00,2.42899
2022,01,10,21,30,00,2.01056
2022,01,10,22,00,00,1.22561
2022,01,10,22,30,00,1.38756
2022,01,10,23,00,00,1.28411
2022,01,10,23,30,00,0.98133
2022,01,11,00,00,00,0.93911
2022,01,11,00,30,00,1.92038
2022,01,11,01,00,00,2.9644
2022,01,11,01,30,00,0.77317
2022,01,11,02,00,00,1.20144
