Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2018,01,11,09,00,00,108.86367
2018,01,11,09,30,00,110.98667
2018,01,11,10,00,00,118.25767
2018,01,11,10,30,00,119.607
2018,01,11,11,00,00,137.20333
2018,01,11,11,30,00,145.38167
2018,01,11,12,00,00,154.386
2018,01,11,12,30,00,144.17533
2018,01,11,13,00,00,133.457
2018,01,11,13,30,00,129.05833
2018,01,11,14,00,00,132.14433
2018,01,11,14,30,00,135.76867
2018,01,11,15,00,00,143.39067
2018,01,11,15,30,00,152.01733
2018,01,11,16,00,00,145.27833
2018,01,11,16,30,00,137.611
2018,01,11,17,00,00,153.989
2018,01,11,17,30,00,186.172
2018,01,11,18,00,00,177.519
2018,01,11,18,30,00,235.70067
2018,01,11,19,00,00,182.87533
2018,01,11,19,30,00,213.27133
2018,01,11,20,00,00,222.18
2018,01,11,20,30,00,228.27233
2018,01,11,21,00,00,270.742
2018,01,11,21,30,00,213.85967
2018,01,11,22,00,00,253.12033
2018,01,11,22,30,00,274.00333
2018,01,11,23,00,00,283.39567
2018,01,11,23,30,00,247.88133
2018,01,12,00,00,00,258.67133
2018,01,12,00,30,00,291.07867
2018,01,12,01,00,00,251.242
2018,01,12,01,30,00,238.67233
2018,01,12,02,00,00,226.986
2018,01,12,02,30,00,241.65633
2018,01,12,03,00,00,233.068
2018,01,12,03,30,00,232.989
2018,01,12,04,00,00,239.50967
2018,01,12,04,30,00,232.47167
2018,01,12,05,00,00,229.512
2018,01,12,05,30,00,230.30233
2018,01,12,06,00,00,229.90067
2018,01,12,06,30,00,229.72167
2018,01,12,07,00,00,226.471
2018,01,12,07,30,00,231.76167
2018,01,12,08,00,00,230.282
2018,01,12,08,30,00,228.79867
2018,01,12,09,00,00,229.71067
2018,01,12,09,30,00,231.531
2018,01,12,10,00,00,232.88567
2018,01,12,10,30,00,241.999
2018,01,12,11,00,00,236.23233
2018,01,12,11,30,00,240.98433
2018,01,12,12,00,00,228.89533
2018,01,12,12,30,00,246.336
2018,01,12,13,00,00,260.33733
2018,01,12,13,30,00,225.63767
2018,01,12,14,00,00,220.63767
2018,01,12,14,30,00,254.79233
2018,01,12,15,00,00,233.66267
2018,01,12,15,30,00,236.99833
2018,01,12,16,00,00,230.974
2018,01,12,16,30,00,225.83433
2018,01,12,17,00,00,227.27767
2018,01,12,17,30,00,229.20767
2018,01,12,18,00,00,237.421
2018,01,12,18,30,00,235.421
2018,01,12,19,00,00,242.613
2018,01,12,19,30,00,244.291
2018,01,12,20,00,00,244.19167
2018,01,12,20,30,00,249.84767
2018,01,12,21,00,00,249.015
2018,01,12,21,30,00,239.145
2018,01,12,22,00,00,242.68067
2018,01,12,22,30,00,242.70067
2018,01,12,23,00,00,247.62067
2018,01,12,23,30,00,254.908
2018,01,13,00,00,00,241.341
2018,01,13,00,30,00,246.97833
2018,01,13,01,00,00,252.73867
2018,01,13,01,30,00,245.92367
2018,01,13,02,00,00,245.171
2018,01,13,02,30,00,250.393
2018,01,13,03,00,00,242.57
2018,01,13,03,30,00,245.90367
2018,01,13,04,00,00,244.09033
