Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2018,01,11,07,00,00,1.61167
2018,01,11,07,30,00,1.732
2018,01,11,08,00,00,1.934
2018,01,11,08,30,00,2.156
2018,01,11,09,00,00,2.58467
2018,01,11,09,30,00,2.76167
2018,01,11,10,00,00,2.231
2018,01,11,10,30,00,2.058
2018,01,11,11,00,00,2.24433
2018,01,11,11,30,00,2.16933
2018,01,11,12,00,00,1.988
2018,01,11,12,30,00,2.08233
2018,01,11,13,00,00,1.88133
2018,01,11,13,30,00,2.91067
2018,01,11,14,00,00,2.10533
2018,01,11,14,30,00,2.38467
2018,01,11,15,00,00,2.35633
2018,01,11,15,30,00,2.466
2018,01,11,16,00,00,2.089
2018,01,11,16,30,00,2.32867
2018,01,11,17,00,00,1.91267
2018,01,11,17,30,00,1.584
2018,01,11,18,00,00,1.55767
2018,01,11,18,30,00,1.18733
2018,01,11,19,00,00,1.56467
2018,01,11,19,30,00,1.23733
2018,01,11,20,00,00,1.57833
2018,01,11,20,30,00,1.30133
2018,01,11,21,00,00,1.069
2018,01,11,21,30,00,1.29967
2018,01,11,22,00,00,1.37633
2018,01,11,22,30,00,1.16833
2018,01,11,23,00,00,1.27767
2018,01,11,23,30,00,0.96533
2018,01,12,00,00,00,1.213
2018,01,12,00,30,00,1.12533
2018,01,12,01,00,00,1.46067
2018,01,12,01,30,00,1.04767
2018,01,12,02,00,00,1.89633
2018,01,12,02,30,00,1.505
2018,01,12,03,00,00,1.11933
2018,01,12,03,30,00,1.58633
2018,01,12,04,00,00,1.42833
2018,01,12,04,30,00,2.12033
2018,01,12,05,00,00,2.53467
2018,01,12,05,30,00,2.59267
2018,01,12,06,00,00,3.231
2018,01,12,06,30,00,2.93367
2018,01,12,07,00,00,2.04367
2018,01,12,07,30,00,2.749
2018,01,12,08,00,00,2.706
2018,01,12,08,30,00,2.71867
2018,01,12,09,00,00,2.11833
2018,01,12,09,30,00,2.432
2018,01,12,10,00,00,1.51567
2018,01,12,10,30,00,1.49433
2018,01,12,11,00,00,1.75567
2018,01,12,11,30,00,1.60733
2018,01,12,12,00,00,1.38333
2018,01,12,12,30,00,0.76567
2018,01,12,13,00,00,0.616
2018,01,12,13,30,00,1.77067
2018,01,12,14,00,00,1.65167
2018,01,12,14,30,00,0.65833
2018,01,12,15,00,00,0.77567
2018,01,12,15,30,00,1.16467
2018,01,12,16,00,00,3.57033
2018,01,12,16,30,00,3.13067
2018,01,12,17,00,00,3.008
2018,01,12,17,30,00,2.88933
2018,01,12,18,00,00,2.88233
2018,01,12,18,30,00,2.67233
2018,01,12,19,00,00,2.89767
2018,01,12,19,30,00,2.92833
2018,01,12,20,00,00,3.179
2018,01,12,20,30,00,4.28167
2018,01,12,21,00,00,3.37733
2018,01,12,21,30,00,3.72467
2018,01,12,22,00,00,3.421
2018,01,12,22,30,00,3.32633
2018,01,12,23,00,00,3.14833
2018,01,12,23,30,00,3.54667
2018,01,13,00,00,00,4.096
2018,01,13,00,30,00,3.45867
2018,01,13,01,00,00,2.94167
2018,01,13,01,30,00,3.37467
2018,01,13,02,00,00,3.92633
2018,01,13,02,30,00,3.71967
2018,01,13,03,00,00,3.837
2018,01,13,03,30,00,3.42167
2018,01,13,04,00,00,3.386
2018,01,13,04,30,00,2.479
2018,01,13,05,00,00,1.72667
2018,01,13,05,30,00,2.08
2018,01,13,06,00,00,2.47967
2018,01,13,06,30,00,1.57667
2018,01,13,07,00,00,1.61867
2018,01,13,07,30,00,2.321
2018,01,13,08,00,00,1.66367
2018,01,13,08,30,00,1.66933
2018,01,13,09,00,00,2.76467
2018,01,13,09,30,00,2.12367
2018,01,13,10,00,00,0.874
2018,01,13,10,30,00,0.43933
2018,01,13,11,00,00,0.488
2018,01,13,11,30,00,0.753
2018,01,13,12,00,00,0.597
2018,01,13,12,30,00,1.37167
2018,01,13,13,00,00,0.52767
2018,01,13,13,30,00,0.45533
2018,01,13,14,00,00,1.19867
2018,01,13,14,30,00,0.93267
2018,01,13,15,00,00,0.98733
2018,01,13,15,30,00,1.48033
2018,01,13,16,00,00,0.49267
2018,01,13,16,30,00,0.55533
2018,01,13,17,00,00,0.491
2018,01,13,17,30,00,0.52233
2018,01,13,18,00,00,0.56433
2018,01,13,18,30,00,0.64567
2018,01,13,19,00,00,0.86567
2018,01,13,19,30,00,1.38
2018,01,13,20,00,00,1.96967
2018,01,13,20,30,00,1.905
2018,01,13,21,00,00,1.75833
2018,01,13,21,30,00,0.765
2018,01,13,22,00,00,0.68667
2018,01,13,22,30,00,0.61633
2018,01,13,23,00,00,0.69033
2018,01,13,23,30,00,1.18
2018,01,14,00,00,00,1.022
2018,01,14,00,30,00,1.444
2018,01,14,01,00,00,1.28033
2018,01,14,01,30,00,1.85833
2018,01,14,02,00,00,1.55167
2018,01,14,02,30,00,1.234
2018,01,14,03,00,00,0.785
2018,01,14,03,30,00,0.96933
2018,01,14,04,00,00,0.93133
2018,01,14,04,30,00,1.01533
2018,01,14,05,00,00,0.88733
2018,01,14,05,30,00,0.93833
2018,01,14,06,00,00,0.91333
2018,01,14,06,30,00,1.33933
2018,01,14,07,00,00,1.758
2018,01,14,07,30,00,1.41133
2018,01,14,08,00,00,1.00433
2018,01,14,08,30,00,1.147
2018,01,14,09,00,00,1.644
2018,01,14,09,30,00,1.79133
2018,01,14,10,00,00,1.13
2018,01,14,10,30,00,1.06867
2018,01,14,11,00,00,1.02367
2018,01,14,11,30,00,1.39867
2018,01,14,12,00,00,0.86833
2018,01,14,12,30,00,1.24067
2018,01,14,13,00,00,1.41933
2018,01,14,13,30,00,1.19467
2018,01,14,14,00,00,1.28933
2018,01,14,14,30,00,1.12467
2018,01,14,15,00,00,1.15133
2018,01,14,15,30,00,1.19067
2018,01,14,16,00,00,1.17867
2018,01,14,16,30,00,1.26933
2018,01,14,17,00,00,1.14633
2018,01,14,17,30,00,1.397
2018,01,14,18,00,00,1.96367
2018,01,14,18,30,00,1.35267
2018,01,14,19,00,00,1.48867
2018,01,14,19,30,00,1.441
2018,01,14,20,00,00,1.39633
2018,01,14,20,30,00,1.331
2018,01,14,21,00,00,1.337
2018,01,14,21,30,00,1.40433
2018,01,14,22,00,00,1.34133
2018,01,14,22,30,00,1.40333
2018,01,14,23,00,00,1.508
2018,01,14,23,30,00,1.693
2018,01,15,00,00,00,1.64133
2018,01,15,00,30,00,1.98167
2018,01,15,01,00,00,1.854
2018,01,15,01,30,00,1.72267
2018,01,15,02,00,00,1.604
2018,01,15,02,30,00,1.803
2018,01,15,03,00,00,1.83133
2018,01,15,03,30,00,1.63333
2018,01,15,04,00,00,1.73833
2018,01,15,04,30,00,2.00333
2018,01,15,05,00,00,2.88533
2018,01,15,05,30,00,2.87767
2018,01,15,06,00,00,2.237
2018,01,15,06,30,00,2.596
2018,01,15,07,00,00,2.82267
2018,01,15,07,30,00,3.3
2018,01,15,08,00,00,2.42133
2018,01,15,08,30,00,1.94033
2018,01,15,09,00,00,2.37667
2018,01,15,09,30,00,2.23533
2018,01,15,10,00,00,2.438
2018,01,15,10,30,00,2.11067
2018,01,15,11,00,00,2.45967
2018,01,15,11,30,00,2.261
2018,01,15,12,00,00,2.51767
2018,01,15,12,30,00,2.44433
2018,01,15,13,00,00,2.65133
2018,01,15,13,30,00,2.583
2018,01,15,14,00,00,2.58867
2018,01,15,14,30,00,3.18033
2018,01,15,15,00,00,2.67867
2018,01,15,15,30,00,2.46167
2018,01,15,16,00,00,2.417
2018,01,15,16,30,00,1.862
2018,01,15,17,00,00,2.67633
2018,01,15,17,30,00,2.49933
2018,01,15,18,00,00,3.21667
2018,01,15,18,30,00,3.65967
2018,01,15,19,00,00,2.935
2018,01,15,19,30,00,3.01267
2018,01,15,20,00,00,3.67733
2018,01,15,20,30,00,3.459
2018,01,15,21,00,00,3.21933
2018,01,15,21,30,00,3.203
2018,01,15,22,00,00,4.05833
2018,01,15,22,30,00,4.721
2018,01,15,23,00,00,3.83567
2018,01,15,23,30,00,3.879
2018,01,16,00,00,00,4.05767
2018,01,16,00,30,00,3.75333
2018,01,16,01,00,00,5.087
2018,01,16,01,30,00,4.25567
2018,01,16,02,00,00,4.21967
2018,01,16,02,30,00,3.98
2018,01,16,03,00,00,4.402
2018,01,16,03,30,00,4.33067
2018,01,16,04,00,00,5.128
2018,01,16,04,30,00,4.755
2018,01,16,05,00,00,5.00733
2018,01,16,05,30,00,4.94567
2018,01,16,06,00,00,5.24267
2018,01,16,06,30,00,5.18667
2018,01,16,07,00,00,4.12567
2018,01,16,07,30,00,4.30067
2018,01,16,08,00,00,5.19567
2018,01,16,08,30,00,5.65767
2018,01,16,09,00,00,5.73533
2018,01,16,09,30,00,6.06033
2018,01,16,10,00,00,4.953
2018,01,16,10,30,00,5.871
2018,01,16,11,00,00,4.47833
2018,01,16,11,30,00,5.13167
2018,01,16,12,00,00,5.92
2018,01,16,12,30,00,6.217
2018,01,16,13,00,00,6.563
2018,01,16,13,30,00,6.574
2018,01,16,14,00,00,6.36333
2018,01,16,14,30,00,6.451
2018,01,16,15,00,00,5.91833
2018,01,16,15,30,00,6.18533
2018,01,16,16,00,00,7.53667
2018,01,16,16,30,00,7.611
2018,01,16,17,00,00,7.03633
2018,01,16,17,30,00,7.07767
2018,01,16,18,00,00,7.13033
2018,01,16,18,30,00,7.06067
2018,01,16,19,00,00,7.583
2018,01,16,19,30,00,7.33567
2018,01,16,20,00,00,6.237
2018,01,16,20,30,00,7.18267
2018,01,16,21,00,00,7.20133
2018,01,16,21,30,00,7.848
2018,01,16,22,00,00,7.827
2018,01,16,22,30,00,7.66267
2018,01,16,23,00,00,7.186
2018,01,16,23,30,00,6.82733
2018,01,17,00,00,00,7.71367
2018,01,17,00,30,00,7.57567
2018,01,17,01,00,00,6.958
2018,01,17,01,30,00,6.79567
2018,01,17,02,00,00,6.856
2018,01,17,02,30,00,6.61333
2018,01,17,03,00,00,6.937
2018,01,17,03,30,00,6.704
2018,01,17,04,00,00,6.01267
2018,01,17,04,30,00,6.59133
2018,01,17,05,00,00,6.61333
2018,01,17,05,30,00,5.958
2018,01,17,06,00,00,6.47833
2018,01,17,06,30,00,6.01833
2018,01,17,07,00,00,6.34767
2018,01,17,07,30,00,5.288
