Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2011,01,13,06,30,00,NaN
2011,01,13,07,00,00,NaN
2011,01,13,07,30,00,61.33333
2011,01,13,08,00,00,203.44828
2011,01,13,08,30,00,219.4
2011,01,13,09,00,00,207.6
2011,01,13,09,30,00,232.3
2011,01,13,10,00,00,273
2011,01,13,10,30,00,284.93333
2011,01,13,11,00,00,261.23333
2011,01,13,11,30,00,240.6
2011,01,13,12,00,00,295.6
2011,01,13,12,30,00,316.93333
2011,01,13,13,00,00,329.16667
2011,01,13,13,30,00,321.56667
2011,01,13,14,00,00,332.7
2011,01,13,14,30,00,330.3
2011,01,13,15,00,00,328.9
2011,01,13,15,30,00,328.33333
2011,01,13,16,00,00,330.03448
2011,01,13,16,30,00,320.53333
2011,01,13,17,00,00,330.76667
2011,01,13,17,30,00,329.46667
2011,01,13,18,00,00,306.58621
2011,01,13,18,30,00,318.7
2011,01,13,19,00,00,326.2
2011,01,13,19,30,00,321.63333
2011,01,13,20,00,00,320.26667
2011,01,13,20,30,00,319.23333
2011,01,13,21,00,00,321.23333
2011,01,13,21,30,00,324.86667
2011,01,13,22,00,00,329.33333
2011,01,13,22,30,00,321.66667
2011,01,13,23,00,00,318.53333
2011,01,13,23,30,00,312.8
2011,01,14,00,00,00,315.83333
2011,01,14,00,30,00,317
2011,01,14,01,00,00,314.36667
2011,01,14,01,30,00,310.2
2011,01,14,02,00,00,313.03333
2011,01,14,02,30,00,312.4
2011,01,14,03,00,00,310.1
2011,01,14,03,30,00,310.1
2011,01,14,04,00,00,312.1
2011,01,14,04,30,00,315.36667
2011,01,14,05,00,00,313.2
2011,01,14,05,30,00,310.4
2011,01,14,06,00,00,305.1
2011,01,14,06,30,00,305.8
2011,01,14,07,00,00,305.16667
2011,01,14,07,30,00,307.7
2011,01,14,08,00,00,310.6
2011,01,14,08,30,00,307.6
2011,01,14,09,00,00,305.06667
2011,01,14,09,30,00,314.86667
2011,01,14,10,00,00,313.86667
2011,01,14,10,30,00,316.16667
2011,01,14,11,00,00,321.56667
2011,01,14,11,30,00,316.33333
2011,01,14,12,00,00,315.6
2011,01,14,12,30,00,310.82759
2011,01,14,13,00,00,312.93333
2011,01,14,13,30,00,320.03333
2011,01,14,14,00,00,312.83333
2011,01,14,14,30,00,308.13333
2011,01,14,15,00,00,309.26667
2011,01,14,15,30,00,314.34483
2011,01,14,16,00,00,306.13333
2011,01,14,16,30,00,304.43333
2011,01,14,17,00,00,308.23333
2011,01,14,17,30,00,306.7
2011,01,14,18,00,00,312.13333
2011,01,14,18,30,00,313.86667
2011,01,14,19,00,00,311.53333
2011,01,14,19,30,00,312.06667
2011,01,14,20,00,00,315.53333
2011,01,14,20,30,00,305.2
2011,01,14,21,00,00,298.23333
2011,01,14,21,30,00,298
2011,01,14,22,00,00,300.16667
2011,01,14,22,30,00,304.83333
2011,01,14,23,00,00,311.73333
2011,01,14,23,30,00,319.26667
2011,01,15,00,00,00,323.1
2011,01,15,00,30,00,320.6
2011,01,15,01,00,00,316.76667
2011,01,15,01,30,00,312.33333
2011,01,15,02,00,00,314.56667
2011,01,15,02,30,00,320.23333
2011,01,15,03,00,00,324.43333
2011,01,15,03,30,00,325.7
2011,01,15,04,00,00,319.4
2011,01,15,04,30,00,332
2011,01,15,05,00,00,322.2
2011,01,15,05,30,00,319.1
2011,01,15,06,00,00,323.56667
2011,01,15,06,30,00,317.43333
2011,01,15,07,00,00,326.16667
2011,01,15,07,30,00,326.33333
2011,01,15,08,00,00,327.93333
2011,01,15,08,30,00,321.43333
2011,01,15,09,00,00,323.13333
2011,01,15,09,30,00,260.83333
2011,01,15,10,00,00,232.46667
2011,01,15,10,30,00,64.13333
2011,01,15,11,00,00,95.73333
2011,01,15,11,30,00,310.33333
